country;countryiso3code;Region;location_id
Albania;ALB;Europe;1
Albania;ALB;Europe;2
Albania;ALB;Europe;3
Albania;ALB;Europe;4
Albania;ALB;Europe;5
Albania;ALB;Europe;6
Albania;ALB;Europe;7
Albania;ALB;Europe;8
Albania;ALB;Europe;9
Albania;ALB;Europe;10
Albania;ALB;Europe;11
Albania;ALB;Europe;12
Albania;ALB;Europe;13
Albania;ALB;Europe;14
Albania;ALB;Europe;15
Albania;ALB;Europe;16
Albania;ALB;Europe;17
Albania;ALB;Europe;18
Albania;ALB;Europe;19
Albania;ALB;Europe;20
Albania;ALB;Europe;21
Albania;ALB;Europe;22
Albania;ALB;Europe;23
Albania;ALB;Europe;24
Albania;ALB;Europe;25
Albania;ALB;Europe;26
Albania;ALB;Europe;27
Albania;ALB;Europe;28
Algeria;DZA;Africa;29
Algeria;DZA;Africa;30
Algeria;DZA;Africa;31
Algeria;DZA;Africa;32
Algeria;DZA;Africa;33
Algeria;DZA;Africa;34
Algeria;DZA;Africa;35
Algeria;DZA;Africa;36
Algeria;DZA;Africa;37
Algeria;DZA;Africa;38
Algeria;DZA;Africa;39
Algeria;DZA;Africa;40
Algeria;DZA;Africa;41
Algeria;DZA;Africa;42
Algeria;DZA;Africa;43
Algeria;DZA;Africa;44
Algeria;DZA;Africa;45
Algeria;DZA;Africa;46
Algeria;DZA;Africa;47
Algeria;DZA;Africa;48
Algeria;DZA;Africa;49
Algeria;DZA;Africa;50
Angola;AGO;Africa;51
Angola;AGO;Africa;52
Angola;AGO;Africa;53
Angola;AGO;Africa;54
Angola;AGO;Africa;55
Angola;AGO;Africa;56
Angola;AGO;Africa;57
Angola;AGO;Africa;58
Angola;AGO;Africa;59
Angola;AGO;Africa;60
Armenia;ARM;Asia;61
Armenia;ARM;Asia;62
Armenia;ARM;Asia;63
Armenia;ARM;Asia;64
Armenia;ARM;Asia;65
Armenia;ARM;Asia;66
Armenia;ARM;Asia;67
Armenia;ARM;Asia;68
Armenia;ARM;Asia;69
Armenia;ARM;Asia;70
Armenia;ARM;Asia;71
Armenia;ARM;Asia;72
Armenia;ARM;Asia;73
Armenia;ARM;Asia;74
Armenia;ARM;Asia;75
Armenia;ARM;Asia;76
Armenia;ARM;Asia;77
Armenia;ARM;Asia;78
Armenia;ARM;Asia;79
Armenia;ARM;Asia;80
Armenia;ARM;Asia;81
Armenia;ARM;Asia;82
Australia;AUS;Oceania;83
Australia;AUS;Oceania;84
Australia;AUS;Oceania;85
Australia;AUS;Oceania;86
Australia;AUS;Oceania;87
Australia;AUS;Oceania;88
Australia;AUS;Oceania;89
Australia;AUS;Oceania;90
Australia;AUS;Oceania;91
Australia;AUS;Oceania;92
Australia;AUS;Oceania;93
Australia;AUS;Oceania;94
Australia;AUS;Oceania;95
Australia;AUS;Oceania;96
Australia;AUS;Oceania;97
Australia;AUS;Oceania;98
Australia;AUS;Oceania;99
Australia;AUS;Oceania;100
Australia;AUS;Oceania;101
Australia;AUS;Oceania;102
Australia;AUS;Oceania;103
Australia;AUS;Oceania;104
Australia;AUS;Oceania;105
Australia;AUS;Oceania;106
Australia;AUS;Oceania;107
Australia;AUS;Oceania;108
Australia;AUS;Oceania;109
Australia;AUS;Oceania;110
Australia;AUS;Oceania;111
Australia;AUS;Oceania;112
Australia;AUS;Oceania;113
Austria;AUT;Europe;114
Austria;AUT;Europe;115
Austria;AUT;Europe;116
Austria;AUT;Europe;117
Austria;AUT;Europe;118
Austria;AUT;Europe;119
Austria;AUT;Europe;120
Austria;AUT;Europe;121
Austria;AUT;Europe;122
Austria;AUT;Europe;123
Austria;AUT;Europe;124
Austria;AUT;Europe;125
Austria;AUT;Europe;126
Austria;AUT;Europe;127
Austria;AUT;Europe;128
Austria;AUT;Europe;129
Austria;AUT;Europe;130
Austria;AUT;Europe;131
Austria;AUT;Europe;132
Austria;AUT;Europe;133
Austria;AUT;Europe;134
Austria;AUT;Europe;135
Austria;AUT;Europe;136
Austria;AUT;Europe;137
Austria;AUT;Europe;138
Austria;AUT;Europe;139
Austria;AUT;Europe;140
Austria;AUT;Europe;141
Austria;AUT;Europe;142
Austria;AUT;Europe;143
Austria;AUT;Europe;144
Azerbaijan;AZE;Asia;145
Azerbaijan;AZE;Asia;146
Azerbaijan;AZE;Asia;147
Azerbaijan;AZE;Asia;148
Azerbaijan;AZE;Asia;149
Azerbaijan;AZE;Asia;150
Azerbaijan;AZE;Asia;151
Azerbaijan;AZE;Asia;152
Azerbaijan;AZE;Asia;153
Azerbaijan;AZE;Asia;154
Azerbaijan;AZE;Asia;155
Azerbaijan;AZE;Asia;156
Azerbaijan;AZE;Asia;157
Azerbaijan;AZE;Asia;158
Azerbaijan;AZE;Asia;159
Azerbaijan;AZE;Asia;160
Azerbaijan;AZE;Asia;161
Azerbaijan;AZE;Asia;162
Azerbaijan;AZE;Asia;163
Azerbaijan;AZE;Asia;164
Azerbaijan;AZE;Asia;165
Azerbaijan;AZE;Asia;166
Bahamas, The;BHS;Unknown;167
Bahamas, The;BHS;Unknown;168
Bahamas, The;BHS;Unknown;169
Bahamas, The;BHS;Unknown;170
Bahamas, The;BHS;Unknown;171
Bahamas, The;BHS;Unknown;172
Bahamas, The;BHS;Unknown;173
Bahamas, The;BHS;Unknown;174
Bahamas, The;BHS;Unknown;175
Bahamas, The;BHS;Unknown;176
Bahamas, The;BHS;Unknown;177
Bahamas, The;BHS;Unknown;178
Bahamas, The;BHS;Unknown;179
Bahamas, The;BHS;Unknown;180
Bahamas, The;BHS;Unknown;181
Bahamas, The;BHS;Unknown;182
Bahamas, The;BHS;Unknown;183
Bahamas, The;BHS;Unknown;184
Bahamas, The;BHS;Unknown;185
Bahamas, The;BHS;Unknown;186
Bahamas, The;BHS;Unknown;187
Bahamas, The;BHS;Unknown;188
Bahrain;BHR;Asia;189
Bahrain;BHR;Asia;190
Bahrain;BHR;Asia;191
Bahrain;BHR;Asia;192
Bahrain;BHR;Asia;193
Bahrain;BHR;Asia;194
Bahrain;BHR;Asia;195
Bahrain;BHR;Asia;196
Bahrain;BHR;Asia;197
Bahrain;BHR;Asia;198
Bahrain;BHR;Asia;199
Bahrain;BHR;Asia;200
Bahrain;BHR;Asia;201
Bahrain;BHR;Asia;202
Bahrain;BHR;Asia;203
Bahrain;BHR;Asia;204
Bahrain;BHR;Asia;205
Bahrain;BHR;Asia;206
Bahrain;BHR;Asia;207
Bahrain;BHR;Asia;208
Bahrain;BHR;Asia;209
Bahrain;BHR;Asia;210
Bahrain;BHR;Asia;211
Bahrain;BHR;Asia;212
Bahrain;BHR;Asia;213
Bangladesh;BGD;Asia;214
Bangladesh;BGD;Asia;215
Bangladesh;BGD;Asia;216
Bangladesh;BGD;Asia;217
Bangladesh;BGD;Asia;218
Bangladesh;BGD;Asia;219
Bangladesh;BGD;Asia;220
Bangladesh;BGD;Asia;221
Bangladesh;BGD;Asia;222
Bangladesh;BGD;Asia;223
Barbados;BRB;North America;224
Barbados;BRB;North America;225
Barbados;BRB;North America;226
Barbados;BRB;North America;227
Barbados;BRB;North America;228
Barbados;BRB;North America;229
Barbados;BRB;North America;230
Barbados;BRB;North America;231
Barbados;BRB;North America;232
Barbados;BRB;North America;233
Barbados;BRB;North America;234
Barbados;BRB;North America;235
Barbados;BRB;North America;236
Barbados;BRB;North America;237
Barbados;BRB;North America;238
Barbados;BRB;North America;239
Barbados;BRB;North America;240
Barbados;BRB;North America;241
Barbados;BRB;North America;242
Barbados;BRB;North America;243
Barbados;BRB;North America;244
Belarus;BLR;Europe;245
Belarus;BLR;Europe;246
Belarus;BLR;Europe;247
Belarus;BLR;Europe;248
Belarus;BLR;Europe;249
Belarus;BLR;Europe;250
Belarus;BLR;Europe;251
Belarus;BLR;Europe;252
Belarus;BLR;Europe;253
Belarus;BLR;Europe;254
Belarus;BLR;Europe;255
Belarus;BLR;Europe;256
Belarus;BLR;Europe;257
Belarus;BLR;Europe;258
Belarus;BLR;Europe;259
Belarus;BLR;Europe;260
Belarus;BLR;Europe;261
Belarus;BLR;Europe;262
Belarus;BLR;Europe;263
Belarus;BLR;Europe;264
Belarus;BLR;Europe;265
Belarus;BLR;Europe;266
Belarus;BLR;Europe;267
Belarus;BLR;Europe;268
Belarus;BLR;Europe;269
Belarus;BLR;Europe;270
Belarus;BLR;Europe;271
Belarus;BLR;Europe;272
Belarus;BLR;Europe;273
Belarus;BLR;Europe;274
Belgium;BEL;Europe;275
Belgium;BEL;Europe;276
Belgium;BEL;Europe;277
Belgium;BEL;Europe;278
Belgium;BEL;Europe;279
Belgium;BEL;Europe;280
Belgium;BEL;Europe;281
Belgium;BEL;Europe;282
Belgium;BEL;Europe;283
Belgium;BEL;Europe;284
Belgium;BEL;Europe;285
